longitude,latitude
[ 8.84293938],[ 47.60524368]
[ 8.84301758],[ 47.60520935]
[ 8.84305859],[ 47.60520172]
[ 8.84307957],[ 47.60521317]
[ 8.84307861],[ 47.60521698]
[ 8.8430748],[ 47.60522079]
[ 8.84307194],[ 47.60522842]
[ 8.84306908],[ 47.60521698]
[ 8.84308052],[ 47.60521698]
[ 8.8430891],[ 47.60522461]
[ 8.84310436],[ 47.60522842]
[ 8.84312248],[ 47.60522842]
[ 8.84311104],[ 47.60522079]
[ 8.8430891],[ 47.60521317]
[ 8.84307575],[ 47.60521698]
[ 8.84307766],[ 47.60522079]
[ 8.84306812],[ 47.60521698]
[ 8.84305763],[ 47.60520935]
[ 8.84305954],[ 47.60521698]
[ 8.84305668],[ 47.60522842]
[ 8.84305],[ 47.60522842]
[ 8.84305],[ 47.60522461]
[ 8.8430624],[ 47.60523605]
[ 8.84306717],[ 47.60523605]
[ 8.84306812],[ 47.60522079]
[ 8.84306908],[ 47.60521698]
[ 8.84307575],[ 47.60522842]
[ 8.84307384],[ 47.60523224]
[ 8.84306908],[ 47.60523605]
[ 8.84306717],[ 47.60523605]
[ 8.84306622],[ 47.60525894]
[ 8.84306335],[ 47.6052475]
[ 8.84305859],[ 47.60525131]
[ 8.84305859],[ 47.60523987]
[ 8.8430748],[ 47.60521698]
[ 8.84307766],[ 47.60516739]
[ 8.84309578],[ 47.60511398]
[ 8.84318161],[ 47.60502243]
[ 8.84316254],[ 47.60503769]
[ 8.84310722],[ 47.60513687]
[ 8.84307957],[ 47.60519791]
[ 8.8430624],[ 47.60522079]
[ 8.84306145],[ 47.60522461]
[ 8.84305859],[ 47.60523224]
[ 8.84306145],[ 47.60522079]
[ 8.84307003],[ 47.60521317]
[ 8.84309006],[ 47.60521317]
[ 8.84310627],[ 47.60523224]
[ 8.84312153],[ 47.60523605]
[ 8.84313583],[ 47.60524368]
[ 8.84311771],[ 47.60525513]
[ 8.84313393],[ 47.60523987]
[ 8.84315681],[ 47.6052475]
[ 8.84319687],[ 47.6052742]
[ 8.84321117],[ 47.60528183]
[ 8.84322357],[ 47.60528946]
[ 8.84318829],[ 47.60528564]
[ 8.84310627],[ 47.60527802]
[ 8.84303761],[ 47.60527802]
[ 8.84302425],[ 47.60527039]
[ 8.84303474],[ 47.6052742]
[ 8.84305668],[ 47.60528564]
[ 8.84305573],[ 47.60528564]
[ 8.84305668],[ 47.60526657]
[ 8.84306431],[ 47.60523987]
[ 8.84306908],[ 47.60523605]
[ 8.84307098],[ 47.6052475]
[ 8.84307384],[ 47.60524368]
[ 8.84307861],[ 47.60523987]
[ 8.84307861],[ 47.60523605]
[ 8.84308052],[ 47.60523224]
[ 8.84306908],[ 47.60524368]
[ 8.84306431],[ 47.6052742]
[ 8.84306431],[ 47.60527802]
[ 8.84306145],[ 47.60525131]
[ 8.8430624],[ 47.60522461]
[ 8.84305286],[ 47.60519409]
[ 8.84303951],[ 47.60516739]
[ 8.84303665],[ 47.60519028]
[ 8.84303665],[ 47.60520554]
[ 8.8430233],[ 47.60521698]
[ 8.84301662],[ 47.60520935]
[ 8.8430357],[ 47.60521317]
[ 8.84305573],[ 47.60520172]
[ 8.84306717],[ 47.60520935]
[ 8.84308434],[ 47.60523224]
[ 8.84309101],[ 47.60526276]
[ 8.84308147],[ 47.60523987]
[ 8.84307957],[ 47.60522842]
[ 8.84308434],[ 47.60523224]
[ 8.8430891],[ 47.60523224]
[ 8.84307861],[ 47.60525513]
[ 8.84306526],[ 47.60529327]
[ 8.84303474],[ 47.60530472]
[ 8.84302711],[ 47.6053772]
[ 8.84304905],[ 47.60539246]
[ 8.84308147],[ 47.60531616]
[ 8.84309101],[ 47.60525513]
[ 8.84310055],[ 47.60522461]
[ 8.84315586],[ 47.60520935]
[ 8.84315395],[ 47.6051712]
[ 8.84309673],[ 47.60513306]
[ 8.84305859],[ 47.60509491]
[ 8.84305286],[ 47.60511017]
[ 8.84305],[ 47.60516739]
[ 8.8430481],[ 47.60520554]
[ 8.84304619],[ 47.60522461]
[ 8.84303761],[ 47.60523224]
[ 8.84304047],[ 47.60522842]
[ 8.84304905],[ 47.60523224]
[ 8.84305096],[ 47.60523605]
[ 8.84305382],[ 47.60523605]
[ 8.84304714],[ 47.60524368]
[ 8.84302711],[ 47.60525894]
[ 8.84302902],[ 47.6052742]
[ 8.84304237],[ 47.60529327]
[ 8.84303856],[ 47.60531235]
[ 8.84301758],[ 47.60538101]
[ 8.84302807],[ 47.60536957]
[ 8.84305286],[ 47.60529327]
[ 8.84307194],[ 47.60526276]
[ 8.84308052],[ 47.60525131]
[ 8.84309387],[ 47.60527039]
[ 8.8431015],[ 47.60529327]
[ 8.84309864],[ 47.60532379]
[ 8.84309101],[ 47.60534286]
[ 8.84309196],[ 47.60533142]
[ 8.84308243],[ 47.60532761]
[ 8.84309101],[ 47.60532761]
[ 8.84309483],[ 47.60528564]
[ 8.84309196],[ 47.6052475]
[ 8.84310341],[ 47.60522461]
[ 8.84311104],[ 47.60523605]
[ 8.84307766],[ 47.60528946]
[ 8.84305],[ 47.6053009]
[ 8.84303951],[ 47.60528564]
[ 8.84303951],[ 47.60527802]
[ 8.84306717],[ 47.60525513]
[ 8.84309006],[ 47.60523987]
[ 8.84307766],[ 47.60524368]
[ 8.84306431],[ 47.60526276]
[ 8.84306145],[ 47.6052742]
[ 8.84306431],[ 47.60527039]
[ 8.84306431],[ 47.60525894]
[ 8.84306145],[ 47.6052475]
[ 8.8430624],[ 47.60523605]
[ 8.8430624],[ 47.60523605]
[ 8.84306526],[ 47.60523987]
[ 8.84306717],[ 47.60524368]
[ 8.84306908],[ 47.60525131]
[ 8.84307766],[ 47.60527039]
[ 8.84308052],[ 47.60527802]
[ 8.84306908],[ 47.60528183]
[ 8.84306049],[ 47.60527802]
[ 8.84305573],[ 47.60527039]
[ 8.84305763],[ 47.60525513]
[ 8.84305859],[ 47.60523987]
[ 8.84305763],[ 47.60522842]
[ 8.84306431],[ 47.60522461]
[ 8.84307194],[ 47.60523224]
[ 8.84307384],[ 47.60523224]
[ 8.84309101],[ 47.60522079]
[ 8.8430891],[ 47.60521317]
[ 8.84307957],[ 47.60522842]
[ 8.84308052],[ 47.60523224]
[ 8.8430872],[ 47.60522842]
[ 8.84310246],[ 47.60521698]
[ 8.84313965],[ 47.60520554]
[ 8.84313011],[ 47.60520554]
[ 8.84309959],[ 47.60520935]
[ 8.84308529],[ 47.60519409]
[ 8.84308147],[ 47.60517883]
[ 8.84308338],[ 47.60518265]
[ 8.84308624],[ 47.60516357]
[ 8.84307671],[ 47.60516739]
[ 8.84304142],[ 47.60521317]
[ 8.84301758],[ 47.6052475]
[ 8.84296608],[ 47.60528564]
[ 8.84292984],[ 47.60527802]
[ 8.84304428],[ 47.60519028]
[ 8.84316063],[ 47.60513306]
[ 8.84318924],[ 47.60511398]
[ 8.84315968],[ 47.60514832]
[ 8.84311581],[ 47.60517502]
[ 8.84310532],[ 47.60519028]
[ 8.84310627],[ 47.60519028]
[ 8.84309769],[ 47.60519409]
[ 8.84308624],[ 47.60520554]
[ 8.84306622],[ 47.60521698]
[ 8.84303665],[ 47.60525131]
[ 8.84306049],[ 47.60526657]
[ 8.84306145],[ 47.6052475]
[ 8.8431282],[ 47.60522842]
[ 8.84321404],[ 47.60522461]
[ 8.84333897],[ 47.60522461]
[ 8.84331131],[ 47.60522842]
[ 8.84322453],[ 47.60522079]
[ 8.84321308],[ 47.60521317]
[ 8.84321117],[ 47.60521317]
[ 8.84318542],[ 47.60520935]
[ 8.84314251],[ 47.60520554]
[ 8.84309196],[ 47.60520172]
[ 8.84307289],[ 47.60520172]
[ 8.8430748],[ 47.60521698]
[ 8.84307766],[ 47.60522079]
[ 8.84307289],[ 47.60521698]
[ 8.84307003],[ 47.60521698]
[ 8.84307098],[ 47.60521698]
[ 8.84307289],[ 47.60522842]
[ 8.8430748],[ 47.60523224]
[ 8.8430748],[ 47.60522842]
[ 8.84307098],[ 47.60522842]
[ 8.84306622],[ 47.60523605]
[ 8.84306717],[ 47.60524368]
[ 8.84306812],[ 47.60525131]
[ 8.84306335],[ 47.6052475]
[ 8.84305382],[ 47.6052475]
[ 8.84305477],[ 47.6052475]
[ 8.84304905],[ 47.60526276]
[ 8.84303761],[ 47.60528564]
[ 8.84304047],[ 47.60527802]
[ 8.8430481],[ 47.60525513]
[ 8.84305954],[ 47.60525131]
[ 8.84306717],[ 47.6052475]
[ 8.84306431],[ 47.60523605]
[ 8.84305668],[ 47.60523987]
[ 8.84305096],[ 47.60525894]
[ 8.84304523],[ 47.60526657]
[ 8.84303761],[ 47.60527039]
[ 8.84303379],[ 47.60525894]
