longitude,latitude
[ 8.93910027],[ 47.74684143]
[ 8.93959808],[ 47.74691391]
[ 8.93942547],[ 47.74678421]
[ 8.93916321],[ 47.74661636]
[ 8.91007519],[ 47.74475861]
[ 8.94011402],[ 47.77163315]
[ 8.96678829],[ 47.7605896]
[ 8.91914272],[ 47.75166702]
[ 8.93093204],[ 47.75294876]
[ 8.93870449],[ 47.74659729]
[ 8.93869781],[ 47.74660492]
[ 8.93871689],[ 47.74659348]
[ 8.93870258],[ 47.74660492]
[ 8.93871498],[ 47.74659729]
[ 8.93871593],[ 47.74662018]
[ 8.93874645],[ 47.74662399]
[ 8.93861103],[ 47.74662018]
[ 8.93867302],[ 47.74665833]
[ 8.93875504],[ 47.74673843]
[ 8.93869019],[ 47.7467308]
[ 8.93868446],[ 47.74674225]
[ 8.93872929],[ 47.74666214]
[ 8.9387331],[ 47.74662781]
[ 8.93876457],[ 47.74662781]
[ 8.93873024],[ 47.74663544]
[ 8.93877602],[ 47.74666977]
[ 8.9387989],[ 47.74670029]
[ 8.93875217],[ 47.74668884]
[ 8.93875313],[ 47.74671555]
[ 8.93875313],[ 47.74670029]
[ 8.93877792],[ 47.74669647]
[ 8.93880844],[ 47.74665833]
[ 8.93871975],[ 47.74658966]
[ 8.93876457],[ 47.74659348]
[ 8.93881035],[ 47.74663162]
[ 8.93870449],[ 47.74664688]
[ 8.93872547],[ 47.74668884]
[ 8.93874073],[ 47.74667358]
[ 8.93869877],[ 47.74663162]
[ 8.93871975],[ 47.74662018]
[ 8.93874741],[ 47.74660492]
[ 8.9387579],[ 47.74662018]
[ 8.93875313],[ 47.74663544]
[ 8.938694],[ 47.74663544]
[ 8.93872738],[ 47.7466507]
[ 8.93874931],[ 47.74664307]
[ 8.93874264],[ 47.74660873]
[ 8.93871212],[ 47.74660492]
[ 8.93873119],[ 47.74660492]
[ 8.93873119],[ 47.74661255]
[ 8.9387455],[ 47.74660492]
[ 8.93873024],[ 47.74662018]
[ 8.93883133],[ 47.74663544]
[ 8.93927002],[ 47.7466507]
[ 8.93890762],[ 47.74651337]
[ 8.93856335],[ 47.74648285]
[ 8.93859482],[ 47.74671936]
[ 8.93856239],[ 47.74664307]
[ 8.93853855],[ 47.74666214]
[ 8.9385252],[ 47.74665451]
[ 8.93857098],[ 47.74666214]
[ 8.93857193],[ 47.74666214]
[ 8.93856335],[ 47.74665451]
[ 8.93857384],[ 47.74664688]
[ 8.9385891],[ 47.74664307]
[ 8.93856144],[ 47.74665451]
[ 8.93860245],[ 47.74666595]
[ 8.93862915],[ 47.74665451]
[ 8.93850613],[ 47.74662018]
[ 8.93864059],[ 47.7466507]
[ 8.9386816],[ 47.74666214]
[ 8.93854618],[ 47.74659348]
[ 8.93858337],[ 47.74663925]
[ 8.93863392],[ 47.74661255]
[ 8.93854046],[ 47.7465744]
[ 8.93857479],[ 47.74659348]
[ 8.93857765],[ 47.74661255]
[ 8.93842888],[ 47.74660873]
[ 8.93852997],[ 47.7467041]
[ 8.93852901],[ 47.74673462]
[ 8.93850231],[ 47.74668884]
[ 8.9383955],[ 47.74659348]
[ 8.93858051],[ 47.74654007]
[ 8.93877125],[ 47.74661636]
[ 8.938694],[ 47.74652863]
[ 8.93866825],[ 47.7466011]
[ 8.93852997],[ 47.74660492]
[ 8.93866348],[ 47.74662018]
[ 8.9385128],[ 47.74663162]
[ 8.93855],[ 47.74659729]
[ 8.93858051],[ 47.74670792]
[ 8.93858242],[ 47.74664307]
[ 8.93851089],[ 47.74669647]
[ 8.93865299],[ 47.74666977]
[ 8.93858242],[ 47.74666595]
[ 8.93867874],[ 47.74662399]
[ 8.93893433],[ 47.74669266]
[ 8.93880081],[ 47.74661255]
[ 8.93881893],[ 47.74665833]
[ 8.93864441],[ 47.74664307]
[ 8.93867683],[ 47.74662399]
[ 8.93876743],[ 47.7467041]
[ 8.93865681],[ 47.7465744]
[ 8.93858337],[ 47.74662781]
[ 8.93857193],[ 47.74662781]
[ 8.93856239],[ 47.74664688]
[ 8.93856621],[ 47.74664307]
[ 8.93857002],[ 47.74664688]
[ 8.9385643],[ 47.74664307]
[ 8.93855286],[ 47.74664688]
[ 8.93855667],[ 47.7466507]
[ 8.93857384],[ 47.74666595]
[ 8.93857384],[ 47.74665451]
[ 8.938591],[ 47.74665451]
[ 8.93850517],[ 47.7466507]
[ 8.9385643],[ 47.7466774]
[ 8.93855476],[ 47.74669266]
