longitude,latitude
[-5.98062611],[ 35.0300827]
[-5.98099136],[ 35.03001404]
[-5.98156023],[ 35.03020477]
[-5.98215437],[ 35.02932358]
[-5.98369312],[ 35.02799988]
[-5.98712397],[ 35.02537537]
[-5.98986912],[ 35.02350616]
[-5.99129534],[ 35.02232361]
[-5.99216175],[ 35.02172089]
[-5.99275351],[ 35.0214653]
[-5.99281406],[ 35.02130508]
[-5.99288321],[ 35.02113342]
[-5.99322653],[ 35.02174377]
[-5.99300098],[ 35.02147293]
[-5.99166822],[ 35.02064133]
[-5.99312449],[ 35.02115631]
[-5.99270725],[ 35.02209473]
[-5.99258566],[ 35.01988983]
[-5.99260426],[ 35.02189255]
[-5.99258232],[ 35.0198288]
[-5.99276161],[ 35.0218544]
[-5.99278688],[ 35.01982117]
[-5.99340153],[ 35.02178192]
[-5.99236631],[ 35.01953888]
[-5.9939189],[ 35.0222435]
[-5.99408579],[ 35.0214653]
[-5.99390984],[ 35.02114487]
[-5.99378204],[ 35.02108002]
[-5.99384689],[ 35.0212059]
[-5.99393559],[ 35.0213623]
[-5.99395561],[ 35.0214386]
[-5.99392939],[ 35.02145767]
[-5.99369812],[ 35.02151871]
[-5.99357605],[ 35.0214386]
[-5.99266243],[ 35.02107239]
[-5.99050522],[ 35.0188179]
[-5.98874998],[ 35.01496506]
[-5.98422098],[ 35.00878525]
[-5.97984838],[ 35.00283051]
[-5.97736454],[ 34.99934387]
[-5.97598982],[ 34.99746323]
[-5.97531271],[ 34.9966507]
[-5.97501659],[ 34.99644852]
[-5.97479391],[ 34.99644852]
[-5.97467756],[ 34.99656677]
[-5.97462034],[ 34.99662018]
[-5.97460175],[ 34.99664688]
[-5.97459412],[ 34.99664307]
[-5.97459602],[ 34.99656677]
[-5.97459936],[ 34.99642944]
[-5.97469091],[ 34.9961853]
[-5.97474909],[ 34.99595261]
[-5.97470808],[ 34.99578476]
[-5.97464561],[ 34.99565506]
[-5.97448778],[ 34.99555206]
[-5.97431087],[ 34.99535751]
[-5.97422028],[ 34.99531174]
[-5.97419119],[ 34.99528503]
[-5.97421122],[ 34.99533463]
[-5.97422409],[ 34.99528122]
[-5.97425032],[ 34.9953537]
[-5.97427034],[ 34.9953804]
[-5.97436857],[ 34.99544525]
[-5.97446251],[ 34.9955101]
[-5.97454405],[ 34.99555969]
[-5.97461462],[ 34.99559021]
[-5.97462463],[ 34.99564362]
[-5.9746685],[ 34.99568939]
[-5.97492743],[ 34.99573898]
[-5.97514105],[ 34.99578476]
[-5.97527647],[ 34.99578857]
[-5.97530556],[ 34.9957695]
[-5.97503614],[ 34.99573135]
[-5.97497892],[ 34.9958992]
[-5.97471857],[ 34.99732208]
[-5.97209167],[ 35.00089264]
[-5.97245789],[ 35.00701523]
[-5.97721434],[ 35.01379776]
[-5.98089933],[ 35.01831055]
[-5.98275709],[ 35.02060699]
[-5.98369026],[ 35.02170944]
[-5.9845376],[ 35.02229691]
[-5.98465824],[ 35.02264404]
[-5.98457003],[ 35.02274704]
[-5.98456764],[ 35.02288437]
[-5.98456907],[ 35.02293015]
[-5.98456287],[ 35.02297211]
[-5.98454285],[ 35.02299881]
[-5.98453188],[ 35.02301025]
[-5.98451185],[ 35.02298355]
[-5.98446274],[ 35.02297592]
[-5.98458385],[ 35.02298355]
[-5.98445034],[ 35.02297211]
[-5.9842968],[ 35.02269363]
[-5.98457289],[ 35.0230217]
[-5.98438978],[ 35.02293777]
[-5.98441029],[ 35.02267838]
[-5.98435926],[ 35.02299881]
[-5.98458481],[ 35.02257156]
[-5.98438692],[ 35.02276993]
[-5.98447895],[ 35.02206421]
[-5.98529434],[ 35.02320099]
[-5.98546886],[ 35.0227356]
[-5.98521233],[ 35.02275467]
[-5.98515511],[ 35.02287674]
[-5.98505259],[ 35.02314377]
[-5.98484325],[ 35.02303314]
[-5.98484564],[ 35.0234642]
[-5.9847765],[ 35.02360916]
[-5.98478508],[ 35.0238533]
[-5.98480415],[ 35.02400589]
[-5.98481226],[ 35.024086]
[-5.98482561],[ 35.02413177]
[-5.98485661],[ 35.02416611]
[-5.98483849],[ 35.024189]
[-5.98496103],[ 35.02417755]
[-5.98504686],[ 35.02423859]
[-5.98502684],[ 35.02412033]
[-5.98508692],[ 35.02417374]
[-5.98512316],[ 35.02420044]
[-5.9851079],[ 35.02416992]
[-5.98508453],[ 35.02413559]
[-5.99786615],[ 35.03624725]
[-5.99265814],[ 35.02033997]
[-5.97922087],[ 35.01469803]
[-6.00243616],[ 35.01282883]
[-5.9913559],[ 35.04088593]
[-5.98463631],[ 35.02433014]
[-5.98472023],[ 35.02433014]
[-5.98477554],[ 35.02433395]
[-5.9848094],[ 35.0243454]
[-5.98482275],[ 35.02436447]
[-5.98481607],[ 35.0243721]
[-5.98481464],[ 35.02437973]
[-5.9848094],[ 35.02438354]
[-5.98480701],[ 35.0243988]
[-5.98479176],[ 35.02441025]
[-5.9847908],[ 35.02441025]
[-5.98478413],[ 35.02441406]
[-5.98476553],[ 35.02441788]
[-5.98477125],[ 35.02441788]
[-5.9847517],[ 35.02442932]
[-5.9847312],[ 35.02442169]
[-5.98474216],[ 35.02444458]
[-5.98468685],[ 35.02445602]
[-5.98466539],[ 35.02445602]
[-5.98471546],[ 35.02448273]
[-5.98474264],[ 35.02435684]
[-5.98474121],[ 35.02436829]
[-5.98479939],[ 35.02431488]
[-5.98491621],[ 35.02427292]
[-5.98492908],[ 35.02418137]
[-5.98495293],[ 35.02421188]
[-5.98495722],[ 35.02419281]
[-5.98495436],[ 35.02419662]
[-5.98490286],[ 35.02422333]
[-5.9848876],[ 35.02424622]
[-5.98486471],[ 35.02427673]
[-5.98479223],[ 35.02425385]
[-5.98477173],[ 35.02429199]
[-5.98472929],[ 35.02428055]
[-5.98471451],[ 35.02428436]
[-5.98475838],[ 35.02429199]
[-5.98477316],[ 35.02428436]
[-5.98477983],[ 35.02429581]
[-5.98479509],[ 35.02430344]
[-5.98476601],[ 35.02429962]
[-5.98473978],[ 35.02427292]
[-5.98471069],[ 35.02428818]
[-5.98468828],[ 35.02414322]
[-5.98471308],[ 35.02418137]
[-5.98435068],[ 35.02434158]
[-5.98509455],[ 35.02485657]
[-5.98458433],[ 35.02541351]
[-5.9832449],[ 35.0234375]
[-5.98357868],[ 35.02461624]
[-5.98357534],[ 35.02472305]
[-5.98353958],[ 35.02485275]
[-5.98335409],[ 35.02492905]
[-5.98319578],[ 35.02501678]
[-5.98302746],[ 35.0249939]
[-5.98299074],[ 35.02497864]
[-5.98289585],[ 35.02494812]
[-5.98275328],[ 35.02490616]
[-5.98271275],[ 35.02495956]
[-5.98271704],[ 35.02505112]
[-5.98265123],[ 35.02508163]
[-5.98249626],[ 35.02498627]
[-5.98241091],[ 35.02486038]
[-5.98247576],[ 35.02479553]
[-5.98238564],[ 35.02476883]
[-5.98239803],[ 35.0246048]
[-5.98239946],[ 35.02476501]
[-5.98242903],[ 35.02458572]
[-5.98219299],[ 35.0246315]
[-5.98203707],[ 35.02437592]
[-5.98211145],[ 35.02482224]
[-5.98186255],[ 35.02450943]
[-5.98186111],[ 35.02460098]
[-5.98187399],[ 35.0246048]
[-5.98172998],[ 35.02461243]
[-5.96474457],[ 35.07378387]
[-5.94759893],[ 35.05153656]
[-5.99378443],[ 35.07352448]
[-3.04149127],[ 17.44361115]
[-4.45810938],[ 26.2766552]
[-5.21806526],[ 30.68992043]
[-5.59489536],[ 32.84790039]
[-5.78371525],[ 33.9548111]
[-5.87933064],[ 34.48617935]
[-5.9289937],[ 34.75580597]
[-5.95487833],[ 34.89056396]
[-5.96758938],[ 34.95799255]
[-5.97372389],[ 34.99167633]
[-5.97655582],[ 35.00857162]
[-5.97744894],[ 35.01665878]
[-5.97778463],[ 35.02077103]
[-5.97809219],[ 35.02268982]
[-5.97831345],[ 35.02365494]
[-5.97841549],[ 35.02416992]
[-5.97812557],[ 35.02431488]
[-5.97812128],[ 35.02437592]
[-5.97822571],[ 35.02495956]
[-5.97806597],[ 35.0251236]
[-5.97796488],[ 35.02573776]
[-5.97752428],[ 35.02633286]
[-5.97741652],[ 35.02675629]
[-5.97735977],[ 35.02749634]
[-5.97724581],[ 35.02734375]
[-5.97713661],[ 35.02752304]
[-5.97718477],[ 35.02729797]
[-5.97733974],[ 35.02763748]
[-5.97710133],[ 35.02724075]
[-5.97711468],[ 35.02725601]
[-5.97702408],[ 35.02719116]
[-5.97706413],[ 35.02710724]
[-5.97714853],[ 35.02707672]
[-5.97720957],[ 35.02690125]
[-5.97739029],[ 35.02653885]
[-5.97777271],[ 35.02622223]
[-5.97823143],[ 35.0262413]
[-5.97722626],[ 35.02566528]
[-5.9785471],[ 35.02534485]
[-5.97861338],[ 35.026371]
[-5.97853899],[ 35.02444458]
[-5.97863293],[ 35.02640915]
[-5.97859049],[ 35.02457428]
[-5.97903585],[ 35.02632141]
[-5.9779706],[ 35.0240593]
[-5.97942686],[ 35.02649689]
[-5.97980833],[ 35.02610779]
[-5.97989464],[ 35.02589798]
[-5.97989225],[ 35.02591705]
[-5.9800272],[ 35.02576828]
[-5.98044395],[ 35.02566147]
[-5.98082495],[ 35.0253067]
[-5.98359156],[ 35.02413177]
[-5.98633194],[ 35.02365112]
[-5.98755121],[ 35.02340317]
[-5.98801088],[ 35.02283478]
