longitude,latitude
[ 8.78948975],[ 47.24198914]
[ 8.81677246],[ 47.42346954]
[ 8.830019],[ 47.51425552]
[ 8.83656406],[ 47.55980301]
[ 8.83980179],[ 47.58258438]
[ 8.84140778],[ 47.59395599]
[ 8.84216309],[ 47.59962082]
[ 8.8425436],[ 47.6024437]
[ 8.84276295],[ 47.60386276]
[ 8.84288883],[ 47.60458755]
[ 8.84296417],[ 47.60494614]
[ 8.84300327],[ 47.60512543]
[ 8.84299088],[ 47.60522461]
[ 8.84296227],[ 47.60528946]
[ 8.84294987],[ 47.60532761]
[ 8.84294796],[ 47.60534668]
[ 8.84294415],[ 47.60535812]
[ 8.8429327],[ 47.60535431]
[ 8.8429327],[ 47.60535431]
[ 8.84293079],[ 47.60534668]
[ 8.84292603],[ 47.60534668]
[ 8.84292793],[ 47.60532761]
[ 8.84293842],[ 47.60532761]
[ 8.84294605],[ 47.60533142]
[ 8.84294796],[ 47.60533905]
[ 8.84296131],[ 47.60538864]
[ 8.84298325],[ 47.60544205]
[ 8.84301567],[ 47.6055069]
[ 8.84300804],[ 47.60550308]
[ 8.84299183],[ 47.60546112]
[ 8.84298801],[ 47.60544968]
[ 8.84298134],[ 47.60543823]
[ 8.84297848],[ 47.60542297]
[ 8.84297276],[ 47.60541534]
[ 8.84297085],[ 47.60539627]
[ 8.84297466],[ 47.60538483]
[ 8.84297752],[ 47.60537338]
[ 8.84298134],[ 47.60536575]
[ 8.84297562],[ 47.60535812]
[ 8.84297562],[ 47.60534286]
[ 8.84296131],[ 47.60535431]
[ 8.84293079],[ 47.60539246]
[ 8.8429327],[ 47.60538864]
[ 8.84297371],[ 47.60536194]
[ 8.84298325],[ 47.60533905]
[ 8.84297466],[ 47.60534286]
[ 8.84296703],[ 47.60533905]
[ 8.84296322],[ 47.60533905]
[ 8.84294319],[ 47.60535431]
[ 8.84293461],[ 47.60536194]
[ 8.84293652],[ 47.60535049]
[ 8.84294128],[ 47.60535049]
[ 8.84294033],[ 47.60535049]
[ 8.84293556],[ 47.60535431]
[ 8.84292603],[ 47.60536194]
[ 8.84292698],[ 47.60536575]
[ 8.84294605],[ 47.6053772]
[ 8.84293365],[ 47.6054039]
[ 8.84292984],[ 47.60541534]
[ 8.84294891],[ 47.60539627]
[ 8.84294987],[ 47.60538101]
[ 8.84292603],[ 47.60537338]
[ 8.84290504],[ 47.6053772]
[ 8.842906],[ 47.60538101]
[ 8.842906],[ 47.6053772]
[ 8.84290409],[ 47.60538101]
[ 8.84290504],[ 47.60538864]
[ 8.84290028],[ 47.60539246]
[ 8.84288883],[ 47.60539627]
[ 8.76072121],[ 47.71545029]
[ 8.78020859],[ 47.75273132]
[ 8.69611073],[ 47.91671753]
[ 4.56218624],[ 23.60924149]
[ 6.61637974],[ 35.92503357]
[ 7.7648077],[ 41.6518364]
[ 8.31609631],[ 44.66573715]
[ 8.58876038],[ 46.14727402]
[ 8.72827148],[ 46.88147354]
[ 8.78952789],[ 47.24199295]
[ 8.816782],[ 47.42346954]
[ 8.82997513],[ 47.5142746]
[ 8.8365202],[ 47.55982208]
[ 8.83972168],[ 47.58259583]
[ 8.84132195],[ 47.59397507]
[ 8.84212399],[ 47.59968185]
[ 8.84251881],[ 47.60253525]
[ 8.84272766],[ 47.60395432]
[ 8.84283447],[ 47.60466003]
[ 8.84290791],[ 47.60499573]
[ 8.84295177],[ 47.6051445]
[ 8.8429842],[ 47.60521317]
[ 8.76090813],[ 47.71527481]
[ 8.78041172],[ 47.75257874]
[ 8.6961832],[ 47.91661835]
[ 4.56225538],[ 23.60919571]
[ 6.6164856],[ 35.92499542]
[ 7.76491499],[ 41.65181351]
[ 8.3161459],[ 44.66573715]
[ 8.58880711],[ 46.14728546]
[ 8.72832203],[ 46.88149643]
[ 8.7895689],[ 47.24201584]
[ 8.81681728],[ 47.42350006]
[ 8.830019],[ 47.51432419]
[ 8.83656216],[ 47.55986404]
[ 8.83976555],[ 47.58263016]
[ 8.84137058],[ 47.59400177]
[ 8.84217739],[ 47.5996933]
[ 8.84257984],[ 47.60252762]
[ 8.84277725],[ 47.60393906]
[ 8.84287834],[ 47.60466003]
[ 8.84291935],[ 47.6050148]
[ 8.84293365],[ 47.60519028]
[ 8.84293461],[ 47.60530853]
[ 8.84294224],[ 47.60535431]
[ 8.84294224],[ 47.60535431]
[ 8.84293175],[ 47.60533142]
[ 8.84293556],[ 47.60532379]
[ 8.84294987],[ 47.60533524]
[ 8.84295273],[ 47.60533524]
[ 8.84294415],[ 47.60533524]
[ 8.842906],[ 47.6053772]
[ 8.84283066],[ 47.60542679]
[ 8.84283733],[ 47.60541534]
[ 8.8428688],[ 47.60536575]
[ 8.8429718],[ 47.60524368]
[ 8.84308147],[ 47.60512924]
[ 8.84306145],[ 47.60517502]
[ 8.8429966],[ 47.60528946]
[ 8.84296322],[ 47.60535049]
[ 8.84294605],[ 47.60536575]
[ 8.84292889],[ 47.60538483]
[ 8.84290695],[ 47.60542297]
